case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
140.0,>=200,existing paid,radio/tv,1881.0,<100,1<=X<4,female div/dep/mar,44.0,unskilled resident,1
141.0,>=200,existing paid,new car,709.0,>=1000,<1,male mar/wid,27.0,unemp/unskilled non res,1
142.0,0<=X<200,existing paid,radio/tv,4795.0,<100,<1,female div/dep/mar,30.0,high qualif/self emp/mgmt,1
143.0,<0,existing paid,radio/tv,3416.0,<100,1<=X<4,male single,27.0,high qualif/self emp/mgmt,1
144.0,<0,existing paid,furniture/equipment,2462.0,<100,1<=X<4,male single,22.0,skilled,0
145.0,no checking,critical/other existing credit,furniture/equipment,2288.0,<100,<1,female div/dep/mar,23.0,skilled,1
146.0,0<=X<200,all paid,business,3566.0,100<=X<500,4<=X<7,male single,30.0,skilled,1
147.0,<0,critical/other existing credit,new car,860.0,<100,>=7,female div/dep/mar,39.0,skilled,1
148.0,no checking,critical/other existing credit,new car,682.0,100<=X<500,4<=X<7,female div/dep/mar,51.0,skilled,1
149.0,<0,critical/other existing credit,furniture/equipment,5371.0,<100,1<=X<4,male single,28.0,skilled,1
150.0,no checking,critical/other existing credit,radio/tv,1582.0,>=1000,>=7,male single,46.0,skilled,1
151.0,no checking,existing paid,radio/tv,1346.0,100<=X<500,>=7,male single,42.0,skilled,1
152.0,no checking,existing paid,radio/tv,1924.0,<100,1<=X<4,male single,38.0,skilled,1
153.0,>=200,existing paid,radio/tv,5848.0,<100,1<=X<4,male single,24.0,skilled,1
154.0,0<=X<200,critical/other existing credit,used car,7758.0,>=1000,>=7,female div/dep/mar,29.0,skilled,1
155.0,0<=X<200,delayed previously,business,6967.0,100<=X<500,4<=X<7,male single,36.0,high qualif/self emp/mgmt,1
156.0,<0,existing paid,furniture/equipment,1282.0,<100,1<=X<4,female div/dep/mar,20.0,skilled,0
157.0,<0,critical/other existing credit,repairs,1288.0,100<=X<500,>=7,male single,48.0,skilled,1
158.0,<0,all paid,retraining,339.0,<100,>=7,male mar/wid,45.0,unskilled resident,1
159.0,0<=X<200,existing paid,new car,3512.0,100<=X<500,4<=X<7,male single,38.0,skilled,1
160.0,no checking,critical/other existing credit,radio/tv,1898.0,no known savings,1<=X<4,male single,34.0,unskilled resident,1
161.0,no checking,critical/other existing credit,radio/tv,2872.0,100<=X<500,>=7,male single,36.0,skilled,1
162.0,no checking,critical/other existing credit,new car,1055.0,<100,<1,female div/dep/mar,30.0,skilled,1
163.0,no checking,existing paid,domestic appliance,1262.0,500<=X<1000,4<=X<7,male single,36.0,skilled,1
164.0,0<=X<200,existing paid,new car,7308.0,<100,unemployed,male single,70.0,high qualif/self emp/mgmt,1
165.0,no checking,existing paid,new car,909.0,500<=X<1000,>=7,male single,36.0,skilled,1
166.0,no checking,existing paid,furniture/equipment,2978.0,500<=X<1000,1<=X<4,male single,32.0,skilled,1
167.0,<0,existing paid,furniture/equipment,1131.0,<100,unemployed,female div/dep/mar,33.0,skilled,0
168.0,0<=X<200,existing paid,furniture/equipment,1577.0,>=1000,<1,female div/dep/mar,20.0,skilled,1
169.0,no checking,existing paid,furniture/equipment,3972.0,<100,4<=X<7,female div/dep/mar,25.0,skilled,1
170.0,0<=X<200,critical/other existing credit,business,1935.0,<100,>=7,male div/sep,31.0,skilled,0
171.0,<0,no credits/all paid,new car,950.0,<100,>=7,male single,33.0,skilled,0
172.0,no checking,existing paid,furniture/equipment,763.0,<100,1<=X<4,female div/dep/mar,26.0,skilled,1
173.0,0<=X<200,delayed previously,furniture/equipment,2064.0,<100,unemployed,female div/dep/mar,34.0,high qualif/self emp/mgmt,0
174.0,0<=X<200,existing paid,radio/tv,1414.0,<100,1<=X<4,male single,22.0,skilled,1
175.0,<0,delayed previously,education,3414.0,<100,<1,male single,26.0,skilled,0
176.0,no checking,all paid,used car,7485.0,no known savings,unemployed,female div/dep/mar,53.0,high qualif/self emp/mgmt,0
177.0,<0,existing paid,furniture/equipment,2577.0,<100,1<=X<4,male div/sep,42.0,skilled,1
178.0,<0,critical/other existing credit,radio/tv,338.0,500<=X<1000,>=7,male single,52.0,skilled,1
179.0,no checking,existing paid,radio/tv,1963.0,<100,4<=X<7,male single,31.0,high qualif/self emp/mgmt,1
180.0,<0,critical/other existing credit,new car,571.0,<100,>=7,male single,65.0,skilled,1
181.0,no checking,delayed previously,business,9572.0,<100,<1,male div/sep,28.0,skilled,0
182.0,0<=X<200,delayed previously,business,4455.0,<100,1<=X<4,male div/sep,30.0,high qualif/self emp/mgmt,0
183.0,<0,all paid,new car,1647.0,no known savings,1<=X<4,male single,40.0,unskilled resident,0
184.0,no checking,critical/other existing credit,furniture/equipment,3777.0,>=1000,1<=X<4,male single,50.0,skilled,1
185.0,0<=X<200,critical/other existing credit,new car,884.0,<100,>=7,male single,36.0,skilled,0
186.0,no checking,critical/other existing credit,radio/tv,1360.0,<100,1<=X<4,male single,31.0,skilled,1
187.0,0<=X<200,all paid,used car,5129.0,<100,>=7,female div/dep/mar,74.0,high qualif/self emp/mgmt,0
188.0,0<=X<200,critical/other existing credit,new car,1175.0,<100,unemployed,male single,68.0,unemp/unskilled non res,1
189.0,<0,existing paid,radio/tv,674.0,100<=X<500,4<=X<7,male mar/wid,20.0,skilled,0
190.0,0<=X<200,no credits/all paid,furniture/equipment,3244.0,<100,1<=X<4,female div/dep/mar,33.0,skilled,1
191.0,no checking,existing paid,business,4591.0,>=1000,1<=X<4,male single,54.0,high qualif/self emp/mgmt,0
192.0,0<=X<200,no credits/all paid,business,3844.0,100<=X<500,4<=X<7,male single,34.0,unskilled resident,0
193.0,0<=X<200,existing paid,business,3915.0,<100,1<=X<4,male single,36.0,skilled,0
194.0,no checking,existing paid,radio/tv,2108.0,<100,4<=X<7,male mar/wid,29.0,skilled,1
195.0,0<=X<200,existing paid,radio/tv,3031.0,100<=X<500,1<=X<4,male single,21.0,skilled,0
196.0,0<=X<200,critical/other existing credit,education,1501.0,<100,>=7,female div/dep/mar,34.0,high qualif/self emp/mgmt,0
197.0,no checking,critical/other existing credit,radio/tv,1382.0,<100,1<=X<4,female div/dep/mar,28.0,skilled,1
198.0,0<=X<200,existing paid,furniture/equipment,951.0,100<=X<500,<1,female div/dep/mar,27.0,skilled,0
199.0,0<=X<200,existing paid,used car,2760.0,no known savings,>=7,male single,36.0,skilled,1
200.0,0<=X<200,delayed previously,furniture/equipment,4297.0,<100,>=7,male div/sep,40.0,high qualif/self emp/mgmt,0
201.0,no checking,critical/other existing credit,education,936.0,500<=X<1000,>=7,male single,52.0,skilled,1
202.0,<0,existing paid,new car,1168.0,<100,1<=X<4,male mar/wid,27.0,unskilled resident,1
203.0,no checking,delayed previously,business,5117.0,<100,4<=X<7,male single,26.0,skilled,1
204.0,<0,existing paid,retraining,902.0,<100,4<=X<7,male mar/wid,21.0,skilled,0
205.0,no checking,critical/other existing credit,new car,1495.0,<100,>=7,male single,38.0,unskilled resident,1
206.0,<0,critical/other existing credit,used car,10623.0,<100,>=7,male single,38.0,high qualif/self emp/mgmt,1
207.0,no checking,critical/other existing credit,furniture/equipment,1935.0,<100,>=7,male single,43.0,skilled,1
208.0,0<=X<200,critical/other existing credit,domestic appliance,1424.0,<100,4<=X<7,male single,26.0,skilled,1
209.0,<0,existing paid,business,6568.0,<100,1<=X<4,male mar/wid,21.0,unskilled resident,1
210.0,no checking,existing paid,used car,1413.0,>=1000,4<=X<7,male single,55.0,skilled,1
211.0,no checking,critical/other existing credit,radio/tv,3074.0,no known savings,1<=X<4,male single,33.0,skilled,1
212.0,no checking,existing paid,radio/tv,3835.0,no known savings,>=7,female div/dep/mar,45.0,unskilled resident,1
213.0,<0,no credits/all paid,business,5293.0,<100,unemployed,male single,50.0,skilled,0
214.0,>=200,delayed previously,business,1908.0,<100,>=7,male single,66.0,high qualif/self emp/mgmt,0
215.0,no checking,critical/other existing credit,radio/tv,3342.0,no known savings,>=7,male single,51.0,skilled,1
216.0,0<=X<200,critical/other existing credit,retraining,932.0,no known savings,4<=X<7,female div/dep/mar,39.0,unskilled resident,1
217.0,<0,no credits/all paid,business,3104.0,<100,4<=X<7,male single,31.0,skilled,1
218.0,>=200,existing paid,radio/tv,3913.0,<100,1<=X<4,male single,23.0,skilled,1
219.0,<0,existing paid,furniture/equipment,3021.0,<100,1<=X<4,male div/sep,24.0,unskilled resident,1
220.0,no checking,existing paid,new car,1364.0,<100,1<=X<4,female div/dep/mar,64.0,skilled,1
221.0,0<=X<200,existing paid,radio/tv,625.0,<100,<1,male mar/wid,26.0,unskilled resident,1
222.0,<0,existing paid,education,1200.0,no known savings,1<=X<4,female div/dep/mar,23.0,skilled,1
223.0,no checking,existing paid,radio/tv,707.0,<100,1<=X<4,male single,30.0,skilled,1
224.0,no checking,delayed previously,business,2978.0,no known savings,1<=X<4,male single,32.0,skilled,1
225.0,no checking,existing paid,used car,4657.0,<100,1<=X<4,male single,30.0,skilled,1
226.0,no checking,no credits/all paid,repairs,2613.0,<100,1<=X<4,male single,27.0,skilled,1
227.0,0<=X<200,existing paid,radio/tv,10961.0,>=1000,4<=X<7,male single,27.0,skilled,0
228.0,<0,existing paid,furniture/equipment,7865.0,<100,>=7,male single,53.0,high qualif/self emp/mgmt,0
229.0,no checking,existing paid,radio/tv,1478.0,<100,4<=X<7,male single,22.0,skilled,0
230.0,<0,existing paid,furniture/equipment,3149.0,<100,<1,male single,22.0,skilled,1
231.0,>=200,existing paid,radio/tv,4210.0,<100,1<=X<4,male single,26.0,skilled,0
232.0,no checking,existing paid,new car,2507.0,500<=X<1000,>=7,male single,51.0,unskilled resident,1
233.0,no checking,existing paid,radio/tv,2141.0,100<=X<500,4<=X<7,male single,35.0,skilled,1
234.0,0<=X<200,existing paid,radio/tv,866.0,<100,1<=X<4,male mar/wid,25.0,unskilled resident,1
235.0,no checking,critical/other existing credit,radio/tv,1544.0,<100,4<=X<7,male single,42.0,unskilled resident,1
236.0,<0,existing paid,radio/tv,1823.0,<100,unemployed,male single,30.0,high qualif/self emp/mgmt,0
237.0,0<=X<200,existing paid,new car,14555.0,no known savings,unemployed,male single,23.0,unemp/unskilled non res,0
238.0,0<=X<200,existing paid,business,2767.0,100<=X<500,>=7,male div/sep,61.0,unskilled resident,0
239.0,no checking,critical/other existing credit,radio/tv,1291.0,<100,1<=X<4,female div/dep/mar,35.0,skilled,1
240.0,<0,existing paid,radio/tv,2522.0,<100,>=7,male single,39.0,skilled,1
241.0,<0,existing paid,new car,915.0,no known savings,>=7,female div/dep/mar,29.0,skilled,0
242.0,no checking,existing paid,radio/tv,1595.0,<100,4<=X<7,male single,51.0,skilled,1
243.0,<0,no credits/all paid,used car,4605.0,<100,>=7,male single,24.0,skilled,0
244.0,no checking,critical/other existing credit,business,1185.0,<100,1<=X<4,female div/dep/mar,27.0,skilled,1
245.0,no checking,all paid,retraining,3447.0,500<=X<1000,1<=X<4,female div/dep/mar,35.0,unskilled resident,1
246.0,no checking,existing paid,business,1258.0,<100,4<=X<7,male single,25.0,skilled,1
247.0,no checking,critical/other existing credit,radio/tv,717.0,<100,>=7,male single,52.0,skilled,1
248.0,no checking,no credits/all paid,new car,1204.0,100<=X<500,1<=X<4,male single,35.0,skilled,1
249.0,>=200,existing paid,furniture/equipment,1925.0,<100,1<=X<4,male single,26.0,skilled,1
250.0,no checking,existing paid,radio/tv,433.0,<100,unemployed,female div/dep/mar,22.0,skilled,0
251.0,<0,critical/other existing credit,new car,666.0,>=1000,4<=X<7,female div/dep/mar,39.0,unskilled resident,1
252.0,>=200,existing paid,furniture/equipment,2251.0,<100,1<=X<4,female div/dep/mar,46.0,unskilled resident,1
253.0,0<=X<200,existing paid,new car,2150.0,<100,1<=X<4,female div/dep/mar,24.0,skilled,0
254.0,no checking,delayed previously,furniture/equipment,4151.0,100<=X<500,1<=X<4,male single,35.0,skilled,1
255.0,0<=X<200,existing paid,furniture/equipment,2030.0,no known savings,4<=X<7,male single,24.0,skilled,1
256.0,0<=X<200,delayed previously,radio/tv,7418.0,no known savings,1<=X<4,male single,27.0,unskilled resident,1
257.0,no checking,critical/other existing credit,radio/tv,2684.0,<100,1<=X<4,male single,35.0,unskilled resident,1
258.0,<0,all paid,radio/tv,2149.0,<100,1<=X<4,male div/sep,29.0,skilled,0
259.0,no checking,existing paid,used car,3812.0,100<=X<500,<1,female div/dep/mar,23.0,skilled,1
260.0,no checking,critical/other existing credit,radio/tv,1154.0,100<=X<500,unemployed,female div/dep/mar,57.0,unskilled resident,1
261.0,<0,existing paid,furniture/equipment,1657.0,<100,1<=X<4,male single,27.0,skilled,1
262.0,<0,existing paid,radio/tv,1603.0,<100,>=7,female div/dep/mar,55.0,skilled,1
263.0,<0,critical/other existing credit,new car,5302.0,<100,>=7,male single,36.0,high qualif/self emp/mgmt,1
264.0,no checking,critical/other existing credit,education,2748.0,<100,>=7,female div/dep/mar,57.0,unskilled resident,1
265.0,no checking,critical/other existing credit,new car,1231.0,<100,>=7,male single,32.0,unskilled resident,1
266.0,0<=X<200,existing paid,radio/tv,802.0,<100,>=7,male single,37.0,skilled,0
267.0,no checking,critical/other existing credit,business,6304.0,no known savings,>=7,male single,36.0,skilled,1
268.0,no checking,existing paid,radio/tv,1533.0,<100,<1,female div/dep/mar,38.0,skilled,1
